Date	Treatment	Dilution	Dye	sample	n_root	n_cells	n_singlet	n_Red_Positive	n_live	percent_Live	percent_RP	name
112223	100 mM	500 x	PI	112223_dilutions_Experiment_Plate_100_500_p.fcs	19734	19306	12307	145	11926	0.9690420086129845	0.011781912732591208	112223_dilutions_Experiment_Plate_100_500_p.fcs
112223	100 mM	500 x	SYTO9	112223_dilutions_Experiment_Plate_100_500.fcs	22782	22280	14893	12727	3257	0.21869334586718592	0.8545625461626267	112223_dilutions_Experiment_Plate_100_500.fcs
112223	1000 mM	1000 x	PI	112223_dilutions_Experiment_Plate_1000_1000_p.fcs	12477	12156	8247	821	64	0.007760397720383169	0.09955135200679034	112223_dilutions_Experiment_Plate_1000_1000_p.fcs
112223	1000 mM	1000 x	SYTO9	112223_dilutions_Experiment_Plate_1000_1000.fcs	11844	11671	8054	5660	5321	0.6606655078222001	0.702756394338217	112223_dilutions_Experiment_Plate_1000_1000.fcs
112223	1000 mM	2000 x	PI	112223_dilutions_Experiment_Plate_1000_2000_p.fcs	13531	13346	9115	970	43	0.004717498628634119	0.10641799232035107	112223_dilutions_Experiment_Plate_1000_2000_p.fcs
112223	1000 mM	2000 x	SYTO9	112223_dilutions_Experiment_Plate_1000_2000.fcs	14779	14585	9914	2679	9679	0.976296146863022	0.2702239257615493	112223_dilutions_Experiment_Plate_1000_2000.fcs
112223	1000 mM	250 x	PI	112223_dilutions_Experiment_Plate_1000_250_p.fcs	12341	12166	8433	834	63	0.007470651013874066	0.09889718961223763	112223_dilutions_Experiment_Plate_1000_250_p.fcs
112223	1000 mM	250 x	SYTO9	112223_dilutions_Experiment_Plate_1000_250.fcs	14581	14300	9826	9810	25	0.00254427030327702	0.9983716670059027	112223_dilutions_Experiment_Plate_1000_250.fcs
112223	1000 mM	500 x	PI	112223_dilutions_Experiment_Plate_1000_500_p.fcs	12040	11749	7405	806	65	0.008777852802160702	0.1088453747467927	112223_dilutions_Experiment_Plate_1000_500_p.fcs
112223	1000 mM	500 x	SYTO9	112223_dilutions_Experiment_Plate_1000_500.fcs	14118	13925	9603	9563	223	0.023221909819847963	0.9958346350098928	112223_dilutions_Experiment_Plate_1000_500.fcs
