# Date: experiment date, A/B/letters is biological replicates done on the same day									
# Group: MM = mock primary, mock secondary; MO = mock primary, H2O2 secondary; PM = phosphate starve primary, mock secondary; PO = phosphate starve primary, H2O2 secondary									
# Len_1: length of primary stress treatment									
# Len_2: length of secondary stress treatment									
# Dilutions: dilutions for CFU assay									
# Count: raw counts on CFU plates									
Date	Strain	Species	Genotype	Group	Len_1	Len_2	H2O2	Dilutions	Count
11/29/23	yH714	Ca	wildtype	PO	45 min	2 hr	6 mM	100	216
11/30/23	yH220	Ca	wildtype	MM	45 min	2 hr	0 mM	1000	270
11/30/23	yH220	Ca	wildtype	MO	45 min	2 hr	2 mM	100	760
11/30/23	yH220	Ca	wildtype	MO	45 min	2 hr	4 mM	100	688
11/30/23	yH220	Ca	wildtype	MO	45 min	2 hr	6 mM	100	804
11/30/23	yH220	Ca	wildtype	PM	45 min	2 hr	0 mM	1000	124
11/30/23	yH220	Ca	wildtype	PO	45 min	2 hr	2 mM	100	488
11/30/23	yH220	Ca	wildtype	PO	45 min	2 hr	4 mM	100	580
11/30/23	yH220	Ca	wildtype	PO	45 min	2 hr	6 mM	100	476
11/30/23	yH714	Ca	wildtype	MM	45 min	2 hr	0 mM	1000	267
11/30/23	yH714	Ca	wildtype	MO	45 min	2 hr	2 mM	100	448
11/30/23	yH714	Ca	wildtype	MO	45 min	2 hr	4 mM	100	190
11/30/23	yH714	Ca	wildtype	MO	45 min	2 hr	6 mM	100	239
11/30/23	yH714	Ca	wildtype	PM	45 min	2 hr	0 mM	1000	215
11/30/23	yH714	Ca	wildtype	PO	45 min	2 hr	2 mM	100	352
11/30/23	yH714	Ca	wildtype	PO	45 min	2 hr	4 mM	100	348
11/30/23	yH714	Ca	wildtype	PO	45 min	2 hr	6 mM	100	212
12/2/23	yH220	Ca	wildtype	MM	45 min	2 hr	0 mM	1000	70
12/2/23	yH220	Ca	wildtype	MO	45 min	2 hr	4 mM	100	142
12/2/23	yH220	Ca	wildtype	MO	45 min	2 hr	6 mM	100	93
